lon,lat,depth,strike,dip,dz1,dz2,dz3,thickness
122.25,21.20,171.46,343.08,70.99,22.49,3.83,6.90,77.94
122.26,21.18,171.46,343.32,70.78,22.44,3.83,7.04,77.87
122.26,21.16,171.46,343.58,70.57,22.40,3.83,7.19,77.79
122.27,21.14,171.46,343.84,70.36,22.35,3.82,7.36,77.70
122.28,21.12,171.46,344.12,70.15,22.31,3.82,7.53,77.62
122.28,21.10,171.46,344.41,69.94,22.26,3.81,7.72,77.53
122.29,21.08,171.46,344.71,69.74,22.21,3.81,7.92,77.44
122.29,21.06,171.46,345.01,69.54,22.16,3.80,7.04,77.35
122.30,21.04,171.46,345.32,69.34,22.12,3.80,6.17,77.25
122.30,21.02,171.46,345.63,69.15,22.07,3.79,5.31,77.15
122.31,21.00,171.46,345.94,68.96,22.03,3.79,4.46,77.06
122.31,20.98,171.46,346.25,68.77,21.99,3.78,3.63,76.96
122.32,20.96,171.46,346.56,68.59,21.95,3.78,2.81,76.85
122.32,20.94,171.46,346.87,68.41,21.92,3.77,2.01,76.75
122.33,20.92,171.46,347.17,68.24,21.89,3.77,1.21,76.65
122.33,20.90,171.46,347.47,68.07,21.86,3.76,0.43,76.55
122.34,20.88,171.46,347.77,67.90,21.84,3.76,-0.34,76.44
122.34,20.86,171.46,348.06,67.74,21.83,3.75,-0.42,76.34
122.35,20.84,171.46,348.35,67.58,21.82,3.75,-0.15,76.23
122.35,20.82,171.46,348.63,67.42,21.82,3.74,0.13,76.13
122.35,20.80,171.46,348.91,67.26,21.83,3.74,0.42,76.03
122.36,20.78,171.46,349.19,67.11,21.84,3.73,0.72,75.93
122.36,20.75,171.46,349.46,66.96,21.86,3.73,1.04,75.83
122.37,20.73,171.46,349.73,66.82,21.90,3.72,1.36,75.73
122.37,20.71,171.46,350.00,66.67,21.94,3.72,1.70,75.63
122.37,20.69,171.46,350.27,66.53,22.00,3.71,2.04,75.53
122.38,20.67,171.46,350.54,66.39,22.06,3.71,2.40,75.43
122.38,20.65,171.46,350.82,66.25,22.14,3.70,2.66,75.34
122.38,20.63,171.46,351.09,66.11,22.23,3.70,2.69,75.25
122.39,20.61,171.46,351.36,65.97,22.33,3.69,2.74,75.15
122.39,20.59,171.46,351.63,65.84,22.45,3.69,2.80,75.07
122.39,20.57,171.46,351.91,65.71,22.58,3.68,2.87,74.98
122.39,20.55,171.46,352.18,65.57,22.72,3.68,2.95,74.89
122.40,20.53,171.46,352.46,65.44,22.88,3.68,3.04,74.81
122.40,20.51,171.46,352.73,65.31,23.05,3.67,3.14,74.73
122.40,20.49,171.46,353.01,65.18,23.23,3.67,3.26,74.65
122.40,20.47,171.46,353.28,65.06,23.43,3.66,3.38,74.57
122.41,20.45,171.46,353.55,64.93,23.65,3.66,3.52,74.49
122.41,20.43,171.46,353.81,64.81,23.87,3.66,3.37,74.42
122.41,20.41,171.46,354.06,64.68,24.11,3.65,3.24,74.34
